Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
KEI.NS,2023-08-03,2356.0,2023-08-16,2280.1499,4,-321.94,-3.41,Exit rule,13
VBL.NS,2023-08-04,333.96,2023-08-16,347.16,29,363.05,3.74,Exit rule,12
NAUKRI.NS,2023-08-07,978.0,2023-08-16,858.0,10,-1218.36,-12.45,Exit rule,9
OFSS.NS,2023-08-07,3870.0,2023-08-17,4109.7998,2,463.64,5.98,Exit rule,10
COCHINSHIP.NS,2023-08-16,345.0,2023-08-17,406.475,28,1700.26,17.58,Exit rule,1
UNOMINDA.NS,2023-07-11,578.9,2023-08-18,639.9,17,1016.28,10.32,Exit rule,38
TECHM.NS,2023-08-09,1206.95,2023-08-18,1225.95,8,132.54,1.37,Exit rule,9
BAJAJHLDNG.NS,2023-08-17,7422.7002,2023-08-18,7150.4502,1,-286.82,-3.86,Exit rule,1
KPRMILL.NS,2023-08-10,638.1,2023-08-23,737.45,15,1469.62,15.34,Exit rule,13
TATACOMM.NS,2023-08-23,1786.85,2023-08-24,1828.65,5,190.92,2.13,Exit rule,1
HAL.NS,2023-08-23,1950.0,2023-08-24,2067.5,5,567.41,5.81,Exit rule,1
LODHA.NS,2023-08-17,715.0,2023-08-28,660.05,13,-732.23,-7.87,Exit rule,11
CANBK.NS,2023-08-24,66.98,2023-08-28,65.45,149,-247.7,-2.48,Exit rule,4
TVSMOTOR.NS,2023-06-30,1330.05,2023-08-30,1391.5,7,411.1,4.41,Exit rule,61
TATACHEM.NS,2023-08-29,1041.0,2023-08-30,1076.95,9,304.49,3.25,Exit rule,1
PIDILITIND.NS,2023-08-30,1290.0,2023-09-01,1262.475,7,-210.54,-2.33,Exit rule,2
NCC.NS,2023-08-23,152.0,2023-09-04,172.0,65,1278.94,12.93,Exit rule,12
BATAINDIA.NS,2023-08-18,1745.95,2023-09-05,1662.95,5,-432.04,-4.94,Exit rule,18
TORNTPOWER.NS,2023-08-23,665.15,2023-09-05,715.15,15,729.3,7.3,Exit rule,13
TATASTEEL.NS,2023-08-24,119.5,2023-09-05,131.75,83,995.9,10.03,Exit rule,12
IGL.NS,2023-08-30,231.25,2023-09-05,230.975,43,-31.7,-0.32,Exit rule,6
SUNDARMFIN.NS,2023-08-21,2585.05,2023-09-06,2611.0,3,62.26,0.8,Exit rule,16
HAVELLS.NS,2023-08-23,1328.05,2023-09-06,1360.0,7,204.83,2.2,Exit rule,14
MAZDOCK.NS,2023-08-16,936.5,2023-09-08,1089.0,10,1504.75,16.05,Exit rule,23
HDFCLIFE.NS,2023-08-30,636.5,2023-09-08,659.2,15,321.06,3.36,Exit rule,9
ONGC.NS,2023-09-04,183.85,2023-09-11,185.45,54,66.46,0.67,Exit rule,7
CDSL.NS,2023-09-06,618.0,2023-09-11,656.95,16,602.8,6.09,Exit rule,5
TCS.NS,2023-09-05,3420.0,2023-09-12,3492.0,2,130.18,1.9,Exit rule,7
ABB.NS,2023-09-05,4339.4502,2023-09-14,4360.0498,2,23.8,0.27,Exit rule,9
