Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
TITAN.NS,2025-06-20,3500.0,2025-07-03,3702.0,2,389.6,5.56,Exit rule,13
NYKAA.NS,2025-06-23,196.01,2025-07-03,205.0,50,429.45,4.38,Exit rule,10
HINDPETRO.NS,2025-06-23,390.35,2025-07-03,437.7,25,1163.05,11.91,Exit rule,10
M&M.NS,2025-06-03,3042.0,2025-07-04,3161.1001,3,338.69,3.71,Exit rule,31
FINEORG.NS,2025-06-24,4720.1001,2025-07-07,5268.1001,2,1076.02,11.39,Exit rule,13
PNB.NS,2025-07-01,110.65,2025-07-10,111.3,90,38.52,0.39,Exit rule,9
GAIL.NS,2025-07-03,191.31,2025-07-10,187.0,52,-243.79,-2.45,Exit rule,7
NBCC.NS,2025-06-24,120.65,2025-07-14,112.9,82,-654.65,-6.61,Exit rule,20
BDL.NS,2025-06-24,1940.0,2025-07-17,1810.0,5,-668.75,-6.89,Exit rule,23
BALRAMCHIN.NS,2025-07-08,603.0,2025-07-17,619.9,16,250.83,2.6,Exit rule,9
ICICIBANK.NS,2025-06-23,1417.0,2025-07-18,1415.8,7,-28.23,-0.28,Exit rule,25
LODHA.NS,2025-07-10,1386.0,2025-07-21,1443.4,7,381.99,3.93,Exit rule,11
CGPOWER.NS,2025-07-15,674.0,2025-07-21,669.0,14,-88.8,-0.94,Exit rule,6
CEATLTD.NS,2025-07-03,3688.8,2025-07-22,3622.0,2,-148.22,-2.01,Exit rule,19
ERIS.NS,2025-07-04,1710.0,2025-07-23,1785.0,5,357.53,4.18,Exit rule,19
ZEEL.NS,2025-07-15,144.12,2025-07-23,133.6,69,-745.04,-7.48,Exit rule,8
RITES.NS,2025-07-03,296.9,2025-07-24,274.05,33,-772.89,-7.88,Exit rule,21
GMDCLTD.NS,2025-07-21,428.95,2025-07-24,456.75,23,619.03,6.27,Exit rule,3
DCBBANK.NS,2025-07-02,147.0,2025-07-25,139.95,67,-491.58,-4.99,Exit rule,23
JINDALSTEL.NS,2025-07-18,951.9,2025-07-25,1001.95,10,480.96,5.05,Exit rule,7
HERITGFOOD.NS,2025-07-17,481.9,2025-07-28,461.0,20,-436.86,-4.53,Exit rule,11
POONAWALLA.NS,2025-07-22,461.5,2025-07-28,421.65,21,-855.4,-8.82,Exit rule,6
ANGELONE.NS,2025-07-23,281.6,2025-07-28,271.0,35,-390.34,-3.96,Exit rule,5
SRF.NS,2025-07-24,3190.0,2025-07-28,3030.0,3,-498.66,-5.21,Exit rule,4
REPCOHOME.NS,2025-07-17,455.7,2025-07-29,410.1,21,-975.78,-10.19,Exit rule,12
MOIL.NS,2025-07-21,383.7,2025-07-29,368.6,26,-412.16,-4.13,Exit rule,8
HINDCOPPER.NS,2025-07-24,277.35,2025-07-29,247.15,36,-1106.08,-11.07,Exit rule,5
CIPLA.NS,2025-07-28,1541.2,2025-07-29,1563.4,6,114.57,1.24,Exit rule,1
INDIANB.NS,2025-07-25,652.8,2025-07-31,607.0,15,-705.9,-7.2,Exit rule,6
TVSMOTOR.NS,2025-07-29,2790.0,2025-07-31,2760.0,3,-106.65,-1.27,Exit rule,2
CHENNPETRO.NS,2025-07-29,718.95,2025-08-01,680.7,13,-515.45,-5.51,Exit rule,3
OMAXE.NS,2025-07-29,101.9,2025-08-01,97.53,98,-447.8,-4.48,Exit rule,3
DRREDDY.NS,2025-07-29,1287.0,2025-08-04,1225.1,7,-450.88,-5.0,Exit rule,6
ZYDUSLIFE.NS,2025-07-29,985.0,2025-08-04,949.95,10,-369.85,-3.75,Exit rule,6
ASTRAZEN.NS,2025-07-31,9220.5,2025-08-04,8909.0,1,-329.63,-3.57,Exit rule,4
SUPRAJIT.NS,2025-07-25,473.0,2025-08-05,450.0,21,-502.38,-5.05,Exit rule,11
WELCORP.NS,2025-07-30,925.0,2025-08-05,893.05,10,-337.68,-3.65,Exit rule,6
INDOCO.NS,2025-07-25,320.0,2025-08-06,302.8,31,-552.51,-5.56,Exit rule,12
GODREJCP.NS,2025-08-01,1270.0,2025-08-06,1219.4,7,-371.63,-4.18,Exit rule,5
SUZLON.NS,2025-08-04,66.6,2025-08-11,63.2,150,-529.47,-5.29,Exit rule,7
CHAMBLFERT.NS,2025-08-06,570.95,2025-08-11,529.75,17,-719.11,-7.4,Exit rule,5
GMRAIRPORT.NS,2025-08-05,91.55,2025-08-13,88.38,109,-365.14,-3.66,Exit rule,8
MUTHOOTFIN.NS,2025-08-05,2670.0,2025-08-13,2522.0,3,-459.58,-5.73,Exit rule,8
KRBL.NS,2025-08-11,427.95,2025-08-14,484.8,23,1286.56,13.06,Exit rule,3
MAHABANK.NS,2025-08-11,55.79,2025-08-14,55.17,179,-130.84,-1.31,Exit rule,3
LT.NS,2025-07-31,3625.0,2025-08-18,3699.0,2,133.35,1.84,Exit rule,18
UNOMINDA.NS,2025-08-06,1103.0,2025-08-19,1220.3,9,1034.79,10.41,Exit rule,13
DALBHARAT.NS,2025-08-13,2274.0,2025-08-19,2333.1001,4,217.97,2.39,Exit rule,6
JMFINANCIL.NS,2025-08-14,185.81,2025-08-19,186.52,53,17.9,0.18,Exit rule,5
ABCAPITAL.NS,2025-08-05,279.0,2025-08-20,287.6,35,281.17,2.88,Exit rule,15
BAJAJFINSV.NS,2025-08-19,1994.0,2025-08-20,1972.8,5,-125.83,-1.26,Exit rule,1
M&M.NS,2025-08-13,3255.0,2025-08-25,3428.0,3,498.95,5.1,Exit rule,12
LEMONTREE.NS,2025-08-19,153.7,2025-08-25,170.52,64,1055.73,10.72,Exit rule,6
BANDHANBNK.NS,2025-08-20,173.1,2025-08-26,170.8,57,-150.7,-1.53,Exit rule,6
SUPRAJIT.NS,2025-08-20,465.0,2025-08-28,441.0,21,-523.03,-5.35,Exit rule,8
PARAGMILK.NS,2025-08-21,245.1,2025-08-28,231.0,40,-583.04,-5.94,Exit rule,7
JSWSTEEL.NS,2025-07-30,1046.4,2025-08-29,1032.0,9,-148.31,-1.57,Exit rule,30
JIOFIN.NS,2025-08-01,329.95,2025-08-29,311.0,30,-587.73,-5.93,Exit rule,28
CCL.NS,2025-08-04,906.35,2025-08-29,851.95,11,-617.74,-6.19,Exit rule,25
GLAND.NS,2025-08-25,1960.0,2025-08-29,1887.5,5,-381.74,-3.89,Exit rule,4
GMDCLTD.NS,2025-08-18,432.0,2025-09-01,403.8,23,-667.82,-6.71,Exit rule,14
VIPIND.NS,2025-08-29,420.0,2025-09-01,419.0,23,-42.3,-0.44,Exit rule,3
CGPOWER.NS,2025-09-01,710.0,2025-09-02,723.05,14,162.64,1.63,Exit rule,1
DBCORP.NS,2025-09-02,268.55,2025-09-03,268.65,37,-16.18,-0.16,Exit rule,1
AMBER.NS,2025-09-02,7650.0,2025-09-03,7645.0,1,-20.29,-0.27,Exit rule,1
